,Accuracy,True positive,False Positive,False Negative,True Negative
Roc,0.731835197,Threshold,0.455836203,,
best_thresh,0.657733442,10217,7047,3898,10816
thresh_0.5,0.659922447,11815,5449,5426,9288
thresh_0.4,0.644787041,8408,8856,2503,12211
thresh_0.3,0.614328601,5846,11418,915,13799
thresh_0.25,0.596222403,4780,12484,428,14286
