,Accuracy,True positive,False Positive,False Negative,True Negative
Roc,0.742978893,Threshold,0.4206119,,
best_thresh,0.668897367,10152,7112,3476,11238
thresh_0.5,0.671774345,11795,5469,5027,9687
thresh_0.4,0.665176059,9703,7561,3146,11568
thresh_0.3,0.647288761,7676,9588,1691,13023
thresh_0.25,0.633185315,6665,10599,1131,13583
